SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2024,M,24KEENOVHRA,1,1,2024-11-14,4049,4049,Truth Bomb,Truth Bomb,,,2022-02-16,2,CH,C,,SRP,,,,Tapit,Tapit,Shenandoah Queen,Shenandoah Queen,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Shenandoah Queen,Tapit,
2024,M,24KEENOVHRA,1,1,2024-11-14,4050,4050,Tuscaloosa,Tuscaloosa,,,2022-02-16,2,DB/BR,G,,RP,,,,Candy Ride (ARG),Candy Ride (ARG),Maya Malibu,Maya Malibu,,,,,,0,,,1901-01-01,"ELiTE, Agent for WinStar Racing ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Maya Malibu,Candy Ride (ARG),
2024,M,24KEENOVHRA,1,1,2024-11-14,4051,4051,Tweetster,Tweetster,,,2021-04-27,3,CH,F,,BRP,,,,Practical Joke,Practical Joke,Tweeterdini,Tweeterdini,,,,,,0,,,1901-01-01,"Gainesway, Agent for the Estate of John Hendrickson ",,,,Narvick /NAJD Stud,,,,185000.0,,,,,T,2021,0.0,,Tweeterdini,Practical Joke,
2024,M,24KEENOVHRA,1,1,2024-11-14,4052,4052,Uncorrelated,Uncorrelated,,,2020-03-21,4,CH,G,,RP,,,,Arrogate,Arrogate,Harlan's Romance,Harlan's Romance,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Harlan's Romance,Arrogate,
2024,M,24KEENOVHRA,1,1,2024-11-14,4053,4053,Wajda,Wajda,,,2021-03-18,3,B,G,,RP,,,,Laoban,Laoban,Untapped Secret,Untapped Secret,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Untapped Secret,Laoban,
2024,M,24KEENOVHRA,1,1,2024-11-14,4054,4054,Walley World,Walley World,,,2021-03-12,3,B,C,,SRP,,,,More Than Ready,More Than Ready,Forced Family Fun,Forced Family Fun,,,,,,0,,,1901-01-01,"Mill Ridge Sales, Agent ",,,,"R.N.A. (65,000)",,,,65000.0,,,,,T,2021,0.0,,Forced Family Fun,More Than Ready,
2024,M,24KEENOVHRA,1,1,2024-11-14,4055,4055,Wandering Kirby,Wandering Kirby,,,2022-03-01,2,DB/BR,F,,BRP,,,,Violence,Violence,Miss Hanna Jo,Miss Hanna Jo,,,,,,0,,,1901-01-01,"Indian Creek, Agent ",,,,"R.N.A. (47,000)",,,,47000.0,,,,,T,2022,0.0,,Miss Hanna Jo,Violence,
2024,M,24KEENOVHRA,1,1,2024-11-14,4056,4056,Weighted Average,Weighted Average,,,2021-01-24,3,CH,F,,BRP,,,,English Channel,English Channel,Charreada,Charreada,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Charreada,English Channel,
2024,M,24KEENOVHRA,1,1,2024-11-14,4057,4057,Weigh the Risks,Weigh the Risks,,,2021-03-20,3,CH,F,,BRP,,,,Mendelssohn,Mendelssohn,Beautiful Liar,Beautiful Liar,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Beautiful Liar,Mendelssohn,
2024,M,24KEENOVHRA,1,1,2024-11-14,4058,4058,West Saratoga,West Saratoga,,,2021-03-19,3,GR/RO,C,,SRP,,,,Exaggerator,Exaggerator,Mo Wicked,Mo Wicked,,,,,,0,,,1901-01-01,"East Windwood Farm, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Mo Wicked,Exaggerator,
2024,M,24KEENOVHRA,1,1,2024-11-14,4059,4059,Winterfell,Winterfell,,,2021-03-13,3,GR/RO,C,,SRP,,,,Arrogate,Arrogate,Forest Fashion,Forest Fashion,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Forest Fashion,Arrogate,
2024,M,24KEENOVHRA,1,1,2024-11-14,4060,4060,X J Rascal (IRE),X J Rascal (IRE),,,2020-02-09,4,B    ,G,,RP,,,,Kodiac (GB),Kodiac (GB),Fine If (IRE),Fine If (IRE),,,,,,0,,,1901-01-01,"Grovendale Sales, Agent V ",,,,Justin Jeansonne,,,,5500.0,,,,,T,2020,0.0,,Fine If (IRE),Kodiac (GB),
2024,M,24KEENOVHRA,1,1,2024-11-14,4061,4061,Yesternight,Yesternight,,,2020-03-21,4,DB/BR,F,,BRP,,,,Midnight Storm,Midnight Storm,Better Not Blink,Better Not Blink,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Better Not Blink,Midnight Storm,
2024,M,24KEENOVHRA,1,1,2024-11-14,4062,4062,Zeliha,Zeliha,,,2021-04-12,3,B,F,,BRP,,,,Speightster,Speightster,Torre Di Pisa,Torre Di Pisa,,,,,,0,,,1901-01-01,"Green Hills at Elmendorf, Agent ",,,,Jay Gates,,,,5000.0,,,,,T,2021,0.0,,Torre Di Pisa,Speightster,
2024,M,24KEENOVHRA,1,1,2024-11-14,4063,4063,Ziaerati,Ziaerati,,,2020-03-06,4,B,F,,BRP,,,,Into Mischief,Into Mischief,Zia,Zia,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2020,0.0,,Zia,Into Mischief,
2024,M,24KEENOVHRA,1,1,2024-11-14,4064,4064,Alcove,Alcove,,,2021-03-12,3,DB/BR,C,,SRP,,,,Twirling Candy,Twirling Candy,Structure,Structure,,,,,,0,,,1901-01-01,"Lane's End, Agent for Juddmonte ",,,,Moody Bluegrass LLC,,,,60000.0,,,,,T,2021,0.0,,Structure,Twirling Candy,
2024,M,24KEENOVHRA,1,1,2024-11-14,4065,4065,Alexis Zorba (GB),Alexis Zorba (GB),,,2020-03-05,4,B,C,,SRP,,,,Zoustar (AUS),Zoustar (AUS),Rue Cambon (IRE),Rue Cambon (IRE),,,,,,0,,,1901-01-01,"Paramount Sales, Agent for Three Diamonds Farm (Partial Racing Dispersal)",,,,"R.N.A. (55,000)",,,,55000.0,,,,,T,2020,0.0,,Rue Cambon (IRE),Zoustar (AUS),
2024,M,24KEENOVHRA,1,1,2024-11-14,4066,4066,Alyeska,Alyeska,,,2022-02-26,2,CH,F,,BRP,,,,Vekoma,Vekoma,Gull Island,Gull Island,,,,,,0,,,1901-01-01,"Gainesway, Agent for the Estate of John Hendrickson ",,,,"Steven W. Young, Agent",,,,675000.0,,,,,T,2022,0.0,,Gull Island,Vekoma,
2024,M,24KEENOVHRA,1,1,2024-11-14,4067,4067,Ando,Ando,,,2022-02-20,2,B,C,,SRP,,,,Into Mischief,Into Mischief,Tin Type Gal,Tin Type Gal,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2022,0.0,,Tin Type Gal,Into Mischief,
