Unnamed: 22,SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
,2023,M,23FTNYMIX,2023-10-17,1,1,217,217,No Horse,No Horse,,,2023-04-04,2023,0,B,F,,W,,,NY,CENTRAL BANKER,CENTRAL BANKER,MY GOLDEN GIRL,MY GOLDEN GIRL,GOLDEN MISSILE,GOLDEN MISSILE,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT LI,,,,NOT SOLD,,,,2500,,,,,T,0.0,,MY GOLDEN GIRL,CENTRAL BANKER,GOLDEN MISSILE,
,2023,M,23FTNYMIX,2023-10-17,1,1,218,218,No Horse,No Horse,,,2023-04-09,2023,0,B,C,,W,,,NY,CENTRAL BANKER,CENTRAL BANKER,MYSELF,MYSELF,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,0,,MCMAHON OF SARATOGA THB LLC,1901-01-01,MCMAHON OF SARATOGA THOROUGHBREDS LLC AGENT,,,,ATLANTIC BLOODSTOCK,,,,20000,,,,,T,0.0,,MYSELF,CENTRAL BANKER,GIANT'S CAUSEWAY,
,2023,M,23FTNYMIX,2023-10-17,1,1,219,219,No Horse,No Horse,,,2023-05-07,2023,0,DKB,F,,W,,,NY,ENTICED,ENTICED,MYTHICAL TALE,MYTHICAL TALE,TIZNOW,TIZNOW,,,,0,,STUART MORRIS,1901-01-01,STUART MORRIS AGENT V,,,,K R RACING,,,,3500,,,,,T,0.0,,MYTHICAL TALE,ENTICED,TIZNOW,
,2023,M,23FTNYMIX,2023-10-17,1,1,220,220,NANTUCKET SUMMER,NANTUCKET SUMMER,,,2017-03-14,2017,6,DKB,M,,B,,,KY,MORE THAN READY,MORE THAN READY,FACT FILE,FACT FILE,DIXIE UNION,DIXIE UNION,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT FOR HEAD OF PLAINS LLC,,,,OUT,,,,0,,,,,T,0.0,,FACT FILE,MORE THAN READY,DIXIE UNION,
,2023,M,23FTNYMIX,2023-10-17,1,1,221,221,No Horse,No Horse,,,2023-02-26,2023,0,CH,F,,W,,,NY,SOLOMINI,SOLOMINI,NATURAL MIST,NATURAL MIST,EMCEE,EMCEE,,,,0,,RHAPSODY FARM LLC,1901-01-01,RHAPSODY FARM LLC AGENT,,,,MOUSE STABLES,,,,30000,,,,,T,0.0,,NATURAL MIST,SOLOMINI,EMCEE,
,2023,M,23FTNYMIX,2023-10-17,1,1,222,222,NAVY CRUISER,NAVY CRUISER,,,2017-01-25,2017,6,B,M,,B,,,KY,DECLARATION OF WAR,DECLARATION OF WAR,TARNISHED,TARNISHED,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,OUT,,,,0,,,,,T,0.0,,TARNISHED,DECLARATION OF WAR,MEDAGLIA D'ORO,
,2023,M,23FTNYMIX,2023-10-17,1,1,223,223,No Horse,No Horse,,,2023-03-19,2023,0,B,F,,W,,,NY,SOLOMINI,SOLOMINI,NAVY CRUISER,NAVY CRUISER,DECLARATION OF WAR,DECLARATION OF WAR,,,,0,,HIDDEN LAKE FARM LLC,1901-01-01,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,0.0,,NAVY CRUISER,SOLOMINI,DECLARATION OF WAR,
,2023,M,23FTNYMIX,2023-10-17,1,1,224,224,No Horse,No Horse,,,2023-03-04,2023,0,B,F,,W,,,NY,KNOWN AGENDA,KNOWN AGENDA,NEW GIRL IN TOWN,NEW GIRL IN TOWN,BOYS AT TOSCONOVA,BOYS AT TOSCONOVA,,,,0,,INDIAN CREEK FARM,1901-01-01,INDIAN CREEK AGENT,,,,OUT,,,,0,,,,,T,0.0,,NEW GIRL IN TOWN,KNOWN AGENDA,BOYS AT TOSCONOVA,
,2023,M,23FTNYMIX,2023-10-17,1,1,225,225,NO JINXIN ME,NO JINXIN ME,,,2020-04-07,2020,3,DKB,M,,B,,,NY,GOOD MAGIC,GOOD MAGIC,KIBOSH,KIBOSH,DISCREET CAT,DISCREET CAT,,,,0,,SEQUEL NEW YORK,1901-01-01,SEQUEL NEW YORK AGENT FOR CHESTER AND MARY BROMAN,,,,NOT SOLD,,,,29000,,,,,T,0.0,,KIBOSH,GOOD MAGIC,DISCREET CAT,
,2023,M,23FTNYMIX,2023-10-17,1,1,226,226,No Horse,No Horse,,,2023-03-10,2023,0,B,F,,W,,,NY,WAR DANCER,WAR DANCER,NOTACHARLIE'SANGEL,NOTACHARLIE'SANGEL,FAPPIE'S NOTEBOOK,FAPPIE'S NOTEBOOK,,,,0,,VINERY SALES,1901-01-01,VINERY SALES AGENT V,,,,ORACLE BLOODSTOCKAGENT,,,,30000,,,,,T,0.0,,NOTACHARLIE'SANGEL,WAR DANCER,FAPPIE'S NOTEBOOK,
