SALEYEAR,SALETYPE,SALECODE,BOOK,DAY,SALEDATE,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL,UTT,STATUS,TDAM,tSire,tSireofdam
2022,M,22KEEJAN,1,1,2022-01-10,70,70,Celebrate Now,Celebrate Now,,,2009-03-13,15,B,M,,B,,,,Street Cry (IRE),Street Cry (IRE),Dance Swiftly,Dance Swiftly,,,,,,0,,Instagrand,2021-04-21,"Burleson Farms, Agent ",,,,Sequel / New York,,,,13000.0,,,,,T,2009,0.0,pregnant,Dance Swiftly,Street Cry (IRE),
2022,M,22KEEJAN,1,1,2022-01-10,71,71,Celestial Storm (IRE),Celestial Storm (IRE),,,2012-04-22,12,CH,M,,B,,,,Galileo (IRE),Galileo (IRE),Heart Shaped,Heart Shaped,,,,,,0,,Catholic Boy,2021-03-10,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for Highfield Farm",,,,Ricky Lee Buckley,,,,15000.0,,,,,T,2012,0.0,pregnant,Heart Shaped,Galileo (IRE),
2022,M,22KEEJAN,1,1,2022-01-10,72,72,Magic Valentine,Magic Valentine,,,2021-02-14,4,CH,F,,Y,,,,Good Magic,Good Magic,Celestial Storm (IRE),Celestial Storm (IRE),,,,,,0,,,1901-01-01,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for Highfield Farm",,,,Jasquez Bloodstock,,,,40000.0,,,,,T,2021,0.0,,Celestial Storm (IRE),Good Magic,
2022,M,22KEEJAN,1,1,2022-01-10,73,73,Celtic Cross,Celtic Cross,,,2006-03-14,18,CH,M,,B,,,,Giant's Causeway,Giant's Causeway,Symbolic,Symbolic,,,,,,0,,Twirling Candy,2021-03-12,"Royal Oak Farm (Damian & Braxton Lynch), Agent ",,,,"R.N.A. (72,000)",,,,72000.0,,,,,T,2006,0.0,pregnant,Symbolic,Giant's Causeway,
2022,M,22KEEJAN,1,1,2022-01-10,74,74,Di's Surprise,Di's Surprise,,,2021-04-09,3,B    ,F,,Y,,,,Preservationist,Preservationist,Chickasaw Gal,Chickasaw Gal,,,,,,0,,,1901-01-01,"Vinery Sales, Agent XXX ",,,,Thoro Ventures,,,,30000.0,,,,,T,2021,0.0,,Chickasaw Gal,Preservationist,
2022,M,22KEEJAN,1,1,2022-01-10,75,75,Clearly Smashing,Clearly Smashing,,,2018-04-13,6,B,F,,BRP,,,,Exaggerator,Exaggerator,Giant Win,Giant Win,,,,,,0,,,1901-01-01,"ELiTE, Agent ",,,,Out,,,,0.0,,,,,T,2018,0.0,,Giant Win,Exaggerator,
2022,M,22KEEJAN,1,1,2022-01-10,76,76,Scarlet's Dream,Scarlet's Dream,,,2021-03-30,3,B,F,,Y,,,,Mitole,Mitole,Cloud Jumper,Cloud Jumper,,,,,,0,,,1901-01-01,"Sequel New York, Agent ",,,,Out,,,,0.0,,,,,T,2021,0.0,,Cloud Jumper,Mitole,
2022,M,22KEEJAN,1,1,2022-01-10,77,77,C'Mon Feet,C'Mon Feet,,,2010-04-04,14,B,M,,B,,,,Purge,Purge,Princess Willow,Princess Willow,,,,,,0,,Mitole,2021-03-26,"Buck Pond Farm (Douglas S. Arnold), Agent II ",,,,"Forever Spring Farm, LLC",,,,40000.0,,,,,T,2010,0.0,pregnant,Princess Willow,Purge,
2022,M,22KEEJAN,1,1,2022-01-10,78,78,Killer Collect,Killer Collect,,,2021-04-13,3,DB/BR,C,,Y,,,,Collected,Collected,Comforter,Comforter,,,,,,0,,,1901-01-01,"St George Sales, Agent IX ",,,,Biz Bloodstock,,,,70000.0,,,,,T,2021,0.0,,Comforter,Collected,
2022,M,22KEEJAN,1,1,2022-01-10,79,79,Consulting,Consulting,,,2014-01-22,11,CH,M,,B,,,,Maclean's Music,Maclean's Music,Family Plan,Family Plan,,,,,,0,,Ghostzapper,2021-05-29,"Vinery Sales, Agent XXXII ",,,,Glen Hill Farm,,,,60000.0,,,,,T,2014,0.0,pregnant,Family Plan,Maclean's Music,
